content,grade
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,3.6
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.5
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,3.0
"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",3.0
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,4.5
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1.1
Vestibulum ac est lacinia nisi venenatis tristique.,4.6
"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.8
Maecenas rhoncus aliquam lacus.,3.3
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",4.2
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1.2
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",4.7
Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,3.8
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3.2
Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,3.0
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,4.1
Nullam varius.,3.2
Morbi non quam nec dui luctus rutrum.,2.8
Phasellus sit amet erat.,2.8
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",4.2
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,1.9
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1.6
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2.5
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1.3
Integer a nibh. In quis justo.,1.9
Proin eu mi. Nulla ac enim.,1.1
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1.4
Suspendisse potenti.,1.3
Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,3.3
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",3.7
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2.3
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,2.0
Etiam faucibus cursus urna.,1.2
Curabitur convallis.,4.8
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2.5
Suspendisse potenti. In eleifend quam a odio.,1.4
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3.2
Proin risus.,4.4
Vestibulum sed magna at nunc commodo placerat.,4.9
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1.6
Nulla tellus. In sagittis dui vel nisl.,4.3
Nunc purus. Phasellus in felis.,1.6
Proin at turpis a pede posuere nonummy.,1.5
"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3.6
Donec dapibus.,4.2
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.1
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,3.1
Cras non velit nec nisi vulputate nonummy.,2.8
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,3.9
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2.4
Nulla tempus.,2.1
Nullam molestie nibh in lectus.,3.2
"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3.8
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3.3
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",4.5
Nullam varius. Nulla facilisi.,2.9
Suspendisse potenti. Nullam porttitor lacus at turpis.,3.9
Curabitur gravida nisi at nibh.,4.2
"In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.6
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3.7
Duis bibendum. Morbi non quam nec dui luctus rutrum.,2.6
Nulla tellus. In sagittis dui vel nisl.,2.2
Praesent lectus.,3.4
Donec quis orci eget orci vehicula condimentum.,1.4
Etiam vel augue. Vestibulum rutrum rutrum neque.,2.2
Cras non velit nec nisi vulputate nonummy.,4.8
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",4.0
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",4.6
Pellentesque ultrices mattis odio. Donec vitae nisi.,3.8
Ut tellus. Nulla ut erat id mauris vulputate elementum.,2.6
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1.7
Aenean auctor gravida sem.,2.9
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4.3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,4.7
Phasellus sit amet erat.,3.0
Duis at velit eu est congue elementum.,3.2
Aliquam sit amet diam in magna bibendum imperdiet.,2.4
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2.5
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,3.6
Aenean sit amet justo.,4.3
Etiam vel augue.,4.8
Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1.7
Cras pellentesque volutpat dui.,4.0
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2.4
Nam dui.,2.3
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",3.9
Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,1.2
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1.3
Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,4.1
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",3.6
Proin risus. Praesent lectus.,2.7
Nunc rhoncus dui vel sem.,2.5
Morbi a ipsum.,1.6
Duis mattis egestas metus. Aenean fermentum.,3.3
"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2.5
Nulla tempus.,4.2
Aliquam erat volutpat.,2.1
Proin risus.,3.8
Proin eu mi.,4.7
Morbi quis tortor id nulla ultrices aliquet.,4.9
Etiam justo. Etiam pretium iaculis justo.,1.7
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1.2
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,3.2
Duis consequat dui nec nisi volutpat eleifend.,1.5
In quis justo.,5.0
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",3.0
"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1.9
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",3.7
Suspendisse potenti.,3.3
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1.5
Donec dapibus. Duis at velit eu est congue elementum.,3.9
Nulla tellus.,1.3
Etiam faucibus cursus urna.,1.4
In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,4.6
Proin interdum mauris non ligula pellentesque ultrices.,3.5
In quis justo.,4.5
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1.3
Duis at velit eu est congue elementum.,2.2
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3.2
Aenean auctor gravida sem.,4.3
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",2.3
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1.7
Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,4.2
Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2.4
Praesent blandit lacinia erat.,2.3
Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,2.3
Nunc purus.,1.3
"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2.8
Cras non velit nec nisi vulputate nonummy.,2.1
Nullam porttitor lacus at turpis.,4.1
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",4.1
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1.9
Duis bibendum.,1.4
Sed vel enim sit amet nunc viverra dapibus.,4.8
Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,2.8
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1.6
Aenean sit amet justo. Morbi ut odio.,2.6
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,2.1
Nulla mollis molestie lorem. Quisque ut erat.,3.5
Nulla justo.,2.9
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",3.5
"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4.8
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",5.0
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3.7
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2.3
"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",3.4
"In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.9
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1.0
Integer a nibh.,1.6
Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,2.6
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",3.6
Ut tellus.,3.7
Vivamus in felis eu sapien cursus vestibulum.,2.9
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.0
Etiam pretium iaculis justo. In hac habitasse platea dictumst.,4.8
Proin eu mi. Nulla ac enim.,1.5
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2.0
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",4.8
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,1.3
Donec semper sapien a libero.,4.9
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",4.4
Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,2.1
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2.9
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",2.2
Proin eu mi.,2.0
"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1.3
"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1.3
"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2.2
Duis mattis egestas metus.,2.7
"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3.6
"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",4.7
Etiam vel augue.,2.3
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",3.4
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1.1
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4.8
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",2.2
Integer tincidunt ante vel ipsum.,2.4
Aliquam quis turpis eget elit sodales scelerisque.,2.2
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",4.1
"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3.4
Praesent blandit.,4.6
Fusce posuere felis sed lacus.,2.3
Donec dapibus.,3.9
Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,3.6
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",4.5
Donec dapibus.,2.2
Vivamus vestibulum sagittis sapien.,4.8
Pellentesque viverra pede ac diam.,2.7
Fusce consequat. Nulla nisl.,3.1
Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,3.1
"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2.0
Vivamus tortor.,1.5
Nullam sit amet turpis elementum ligula vehicula consequat.,2.6
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2.2
Suspendisse potenti. Nullam porttitor lacus at turpis.,3.9
Mauris ullamcorper purus sit amet nulla.,4.1
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",3.4
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,3.2
"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3.7
Suspendisse potenti.,4.0
Proin risus. Praesent lectus.,1.2
Nulla ut erat id mauris vulputate elementum. Nullam varius.,1.5
Donec ut mauris eget massa tempor convallis.,1.7
Mauris lacinia sapien quis libero.,4.8
Etiam faucibus cursus urna. Ut tellus.,3.3
In quis justo. Maecenas rhoncus aliquam lacus.,4.6
In quis justo.,2.9
Proin interdum mauris non ligula pellentesque ultrices.,3.0
Curabitur in libero ut massa volutpat convallis.,1.8
Mauris lacinia sapien quis libero.,2.7
Nullam varius. Nulla facilisi.,3.9
Nullam varius.,2.9
Duis bibendum.,3.0
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",1.1
In hac habitasse platea dictumst. Etiam faucibus cursus urna.,1.9
Nulla nisl.,1.5
Aliquam non mauris.,2.9
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.6
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1.4
"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4.2
"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3.8
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",3.4
Aenean auctor gravida sem.,4.3
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3.5
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,1.1
"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3.2
Mauris lacinia sapien quis libero.,3.9
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2.5
Pellentesque at nulla.,4.6
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",4.6
Proin risus.,2.8
Proin risus. Praesent lectus.,4.2
Nunc purus.,1.8
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2.4
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2.9
Praesent blandit.,1.8
Morbi a ipsum.,2.4
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3.5
Duis aliquam convallis nunc.,1.8
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,4.2
Suspendisse accumsan tortor quis turpis. Sed ante.,3.3
"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",4.9
Nulla ut erat id mauris vulputate elementum. Nullam varius.,2.7
Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1.6
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2.6
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1.1
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",1.3
Nunc nisl.,2.0
Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2.0
In quis justo. Maecenas rhoncus aliquam lacus.,1.4
"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.0
Nulla ac enim.,3.1
"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",4.8
In congue.,4.5
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2.0
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,2.2
Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,2.3
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2.7
Sed vel enim sit amet nunc viverra dapibus.,4.3
Nulla suscipit ligula in lacus.,4.8
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",4.9
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1.1
Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,3.4
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",4.5
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.1
Nulla justo.,1.8
Nulla suscipit ligula in lacus.,3.6
Aliquam non mauris.,3.8
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2.3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1.4
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,2.2
Aliquam quis turpis eget elit sodales scelerisque.,4.0
Donec dapibus. Duis at velit eu est congue elementum.,3.6
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2.1
Aliquam erat volutpat.,4.5
Mauris lacinia sapien quis libero.,3.5
Sed sagittis.,4.2
Nam nulla.,2.8
Etiam vel augue.,4.6
"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2.0
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2.0
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,1.2
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",4.4
Integer a nibh. In quis justo.,4.8
"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.7
Etiam faucibus cursus urna.,2.7
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.3
Praesent id massa id nisl venenatis lacinia.,2.1
"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",3.5
Cras in purus eu magna vulputate luctus.,3.3
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,4.1
"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",4.1
"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2.8
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",3.1
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1.8
"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1.7
Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,4.7
Aliquam sit amet diam in magna bibendum imperdiet.,4.4
Ut at dolor quis odio consequat varius.,3.0
Duis mattis egestas metus.,3.2
Proin risus.,3.5
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2.3
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,3.3
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",1.7
Etiam justo. Etiam pretium iaculis justo.,2.7
"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3.5
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,3.6
Donec dapibus.,1.5
Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,4.8
Mauris ullamcorper purus sit amet nulla.,2.5
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1.8
"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2.0
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3.4
Suspendisse potenti.,2.6
"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",4.4
In hac habitasse platea dictumst.,3.3
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1.5
Vivamus tortor.,3.0
Donec ut dolor.,1.6
Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,3.1
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",3.1
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1.5
Suspendisse potenti. In eleifend quam a odio.,1.8
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2.5
Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2.3
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",3.3
Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,3.6
Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,4.3
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",4.8
Proin risus. Praesent lectus.,2.8
Cras in purus eu magna vulputate luctus.,2.4
Quisque id justo sit amet sapien dignissim vestibulum.,2.8
Aenean sit amet justo. Morbi ut odio.,3.2
Nulla ut erat id mauris vulputate elementum. Nullam varius.,3.6
In congue.,1.6
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",1.5
Suspendisse potenti.,1.2
Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,2.8
Integer tincidunt ante vel ipsum.,2.8
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1.4
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",4.2
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1.9
"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2.1
"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",3.5
Donec semper sapien a libero. Nam dui.,3.4
Aenean sit amet justo.,1.9
In hac habitasse platea dictumst.,3.5
"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",3.7
Nullam sit amet turpis elementum ligula vehicula consequat.,1.1
Nulla justo.,3.0
Donec posuere metus vitae ipsum.,1.2
In sagittis dui vel nisl. Duis ac nibh.,4.6
Maecenas pulvinar lobortis est.,3.8
Suspendisse potenti. In eleifend quam a odio.,1.2
Etiam vel augue.,1.1
Vestibulum ac est lacinia nisi venenatis tristique.,1.1
Integer ac neque. Duis bibendum.,2.1
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,2.7
Proin eu mi.,3.4
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3.5
Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1.2
Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1.4
Nam nulla.,3.1
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",1.1
Duis bibendum. Morbi non quam nec dui luctus rutrum.,4.8
